,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
38583,3377,KAMA,medium_airport,Rick Husband Amarillo International Airport,35.217857,-101.706444,3607.0,,US,US-TX,Amarillo,yes,KAMA,AMA,KAMA,AMA,http://airport.amarillo.gov/,https://en.wikipedia.org/wiki/Rick_Husband_Amarillo_International_Airport,
38606,3382,KAPN,medium_airport,Alpena County Regional Airport,45.0780983,-83.56030273,690.0,,US,US-MI,Alpena,yes,KAPN,APN,KAPN,APN,,https://en.wikipedia.org/wiki/Alpena_County_Regional_Airport,
38624,19308,KASE,medium_airport,Aspen-Pitkin County Airport (Sardy Field),39.223202,-106.869003,7820.0,,US,US-CO,Aspen,yes,KASE,ASE,KASE,ASE,http://aspenairport.com/,https://en.wikipedia.org/wiki/Aspen%E2%80%93Pitkin_County_Airport,
38635,3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,yes,KATL,ATL,KATL,ATL,https://www.atl.com,https://en.wikipedia.org/wiki/Hartsfield–Jackson_Atlanta_International_Airport,
38637,19320,KATW,medium_airport,Appleton International Airport,44.258515,-88.519,918.0,,US,US-WI,Appleton,yes,KATW,ATW,KATW,ATW,http://atwairport.com/,https://en.wikipedia.org/wiki/Outagamie_County_Regional_Airport,Outagamie County Regional Airport
38638,3385,KATY,medium_airport,Watertown Regional Airport,44.91400146,-97.15470123,1749.0,,US,US-SD,Watertown,yes,KATY,ATY,KATY,ATY,,https://en.wikipedia.org/wiki/Watertown_Regional_Airport,
38644,3386,KAUS,large_airport,Austin Bergstrom International Airport,30.197535,-97.662015,542.0,,US,US-TX,Austin,yes,KAUS,AUS,KAUS,AUS,http://www.ci.austin.tx.us/austinairport/,https://en.wikipedia.org/wiki/Austin-Bergstrom_International_Airport,"BSM, KBSM, Bergstrom AFB"
38648,3387,KAVL,medium_airport,Asheville Regional Airport,35.435488,-82.541853,2165.0,,US,US-NC,Asheville,yes,KAVL,AVL,KAVL,AVL,https://flyavl.com,https://en.wikipedia.org/wiki/Asheville_Regional_Airport,
38650,3388,KAVP,medium_airport,Wilkes-Barre/Scranton International Airport,41.337064,-75.724232,962.0,,US,US-PA,Wilkes-Barre/Scranton,yes,KAVP,AVP,KAVP,AVP,http://www.flyavp.com/,https://en.wikipedia.org/wiki/Wilkes-Barre/Scranton_International_Airport,
38667,3390,KAZO,medium_airport,Kalamazoo/Battle Creek International Airport,42.232105,-85.549637,874.0,,US,US-MI,Kalamazoo,yes,KAZO,AZO,KAZO,AZO,https://flyazo.com,https://en.wikipedia.org/wiki/Kalamazoo-Battle_Creek_International_Airport,
